code	full-ja	full-ja-hira	full-en	base-ja	base-ja-hira	base-en	type	pref	psub	county	subpref
25208	栗東市	りっとうし	Ritto City	栗東	りっとう	Ritto	32	25	25200		
25209	甲賀市	こうかし	Koka City	甲賀	こうか	Koka	32	25	25200		
25210	野洲市	やすし	Yasu City	野洲	やす	Yasu	32	25	25200		
25211	湖南市	こなんし	Konan City	湖南	こなん	Konan	32	25	25200		
25212	高島市	たかしまし	Takashima City	高島	たかしま	Takashima	32	25	25200		
25213	東近江市	ひがしおうみし	Higashiomi City	東近江	ひがしおうみ	Higashiomi	32	25	25200		
25214	米原市	まいばらし	Maibara City	米原	まいばら	Maibara	32	25	25200		
25383	日野町	ひのちょう	Hino Town	日野	ひの	Hino	35	25	25380	25380	
25384	竜王町	りゅうおうちょう	Ryuo Town	竜王	りゅうおう	Ryuo	35	25	25380	25380	
25425	愛荘町	あいしょうちょう	Aisho Town	愛荘	あいしょう	Aisho	35	25	25420	25420	
