code	full-ja	full-ja-hira	full-en	base-ja	base-ja-hira	base-en	type	pref
30380	日高郡	ひだかぐん	Hidaka County	日高	ひだか	Hidaka	24	30
30400	西牟婁郡	にしむろぐん	Nishimuro County	西牟婁	にしむろ	Nishimuro	24	30
30420	東牟婁郡	ひがしむろぐん	Higashimuro County	東牟婁	ひがしむろ	Higashimuro	24	30
31200	市部	しぶ	City Area				23	31
31300	岩美郡	いわみぐん	Iwami County	岩美	いわみ	Iwami	24	31
31320	八頭郡	やずぐん	Yazu County	八頭	やず	Yazu	24	31
31360	東伯郡	とうはくぐん	Tohaku County	東伯	とうはく	Tohaku	24	31
31380	西伯郡	さいはくぐん	Saihaku County	西伯	さいはく	Saihaku	24	31
31400	日野郡	ひのぐん	Hino County	日野	ひの	Hino	24	31
32200	市部	しぶ	City Area				23	32
32340	仁多郡	にたぐん	Nita County	仁多	にた	Nita	24	32
32380	飯石郡	いいしぐん	Iishi County	飯石	いいし	Iishi	24	32
32440	邑智郡	おおちぐん	Ochi County	邑智	おおち	Ochi	24	32
32500	鹿足郡	かのあしぐん	Kanoashi County	鹿足	かのあし	Kanoashi	24	32
32520	隠岐郡	おきぐん	Oki County	隠岐	おき	Oki	24	32
33100	岡山市	おかやまし	Okayama City	岡山	おかやま	Okayama	21	33
33200	市部	しぶ	City Area				23	33
33340	和気郡	わけぐん	Wake County	和気	わけ	Wake	24	33
33420	都窪郡	つくぼぐん	Tsukubo County	都窪	つくぼ	Tsukubo	24	33
33440	浅口郡	あさくちぐん	Asakuchi County	浅口	あさくち	Asakuchi	24	33
33460	小田郡	おだぐん	Oda County	小田	おだ	Oda	24	33
33580	真庭郡	まにわぐん	Maniwa County	真庭	まにわ	Maniwa	24	33
33600	苫田郡	とまたぐん	Tomata County	苫田	とまた	Tomata	24	33
33620	勝田郡	かつたぐん	Katsuta County	勝田	かつた	Katsuta	24	33
33640	英田郡	あいだぐん	Aida County	英田	あいだ	Aida	24	33
33660	久米郡	くめぐん	Kume County	久米	くめ	Kume	24	33
33680	加賀郡	かがぐん	Kaga County	加賀	かが	Kaga	24	33
34100	広島市	ひろしまし	Hiroshima City	広島	ひろしま	Hiroshima	21	34
34200	市部	しぶ	City Area				23	34
34300	安芸郡	あきぐん	Aki County	安芸	あき	Aki	24	34
34360	山県郡	やまがたぐん	Yamagata County	山県	やまがた	Yamagata	24	34
